Miasto	Powiat	Wojewodztwo	Powierzchnia	Ludnosc	Zaludnienie
Kostrzyn	poznański	wielkopolskie	7,98	9542	1196
KostrzynnadOdrą	gorzowski	lubuskie	46,14	18155	393
Koszalin	Koszalin[a]	zachodniopomorskie	98,34	108605	1104
Kościan	kościański	wielkopolskie	8,79	23949	2725
Kościerzyna	kościerski	pomorskie	15,86	23738	1497
Kowal	włocławski	kujawsko-pomorskie	4,68	3538	756
KowalewoPomorskie	golubsko-dobrzyński	kujawsko-pomorskie	4,45	4266	959
Kowary	jeleniogórski	dolnośląskie	37,39	11408	305
Koziegłowy	myszkowski	śląskie	26,71	2449	92
Kozienice	kozienicki	mazowieckie	10,45	18064	1729
KoźminWielkopolski	krotoszyński	wielkopolskie	5,89	6701	1138
Kożuchów	nowosolski	lubuskie	5,94	9711	1635
Kórnik	poznański	wielkopolskie	5,99	7684	1283
Krajenka	złotowski	wielkopolskie	3,76	3797	1010
Kraków	Kraków[a]	małopolskie	326,85	761873	2331
Krapkowice	krapkowicki	opolskie	21,01	16851	802
Krasnobród	zamojski	lubelskie	6,99	3108	445
Krasnystaw	krasnostawski	lubelskie	42,13	19343	459
Kraśnik	kraśnicki	lubelskie	26,10	35508	1360
Krobia	gostyński	wielkopolskie	7,05	4236	601
Krosno	Krosno[a]	podkarpackie	43,50	46934	1088
KrosnoOdrzańskie	krośnieński	lubuskie	8,15	11799	1448
Krośniewice	kutnowski	łódzkie	4,18	4498	1076
Krotoszyn	krotoszyński	wielkopolskie	22,54	29284	1299
Kruszwica	inowrocławski	kujawsko-pomorskie	6,64	9039	1361
KrynicaMorska	nowodworski	pomorskie	116,01	1335	12
Krynica-Zdrój	nowosądecki	małopolskie	39,68	10992	277
Krynki	sokólski	podlaskie	3,83	2515	657
Krzanowice	raciborski	śląskie	3,08	2209	717
Krzepice	kłobucki	śląskie	27,66	4462	161
Krzeszowice	krakowski	małopolskie	16,97	10173	599
Krzywiń	kościański	wielkopolskie	2,27	1635	720
KrzyżWielkopolski	czarnkowsko-trzcianecki	wielkopolskie	5,81	6171	1062
KsiążWielkopolski	śremski	wielkopolskie	1,96	2776	1416
Kudowa-Zdrój	kłodzki	dolnośląskie	33,90	10249	302
Kunów	ostrowiecki	świętokrzyskie	7,26	3060	421
Kutno	kutnowski	łódzkie	33,59	45371	1351
KuźniaRaciborska	raciborski	śląskie	31,49	5451	173
Kwidzyn	kwidzyński	pomorskie	21,54	38757	1799
Lądek-Zdrój	kłodzki	dolnośląskie	20,32	5873	289
Legionowo	legionowski	mazowieckie	13,54	54272	4008
Legnica	Legnica[a]	dolnośląskie	56,29	101343	1800
Lesko	leski	podkarpackie	15,33	5615	366
Leszno	Leszno[a]	wielkopolskie	31,86	64616	2028
Leśna	lubański	dolnośląskie	8,56	4648	543
Leśnica	strzelecki	opolskie	14,50	2690	186
LewinBrzeski	brzeski	opolskie	11,64	5940	510
Leżajsk	leżajski	podkarpackie	20,58	14252	693
Lębork	lęborski	pomorskie	17,86	35443	1984
Lędziny	bieruńsko-lędziński	śląskie	31,65	16749	529
Libiąż	chrzanowski	małopolskie	35,85	17284	482
Lidzbark	działdowski	warmińsko-mazurskie	5,68	8092	1425
LidzbarkWarmiński	lidzbarski	warmińsko-mazurskie	14,35	16332	1138
Limanowa	limanowski	małopolskie	18,70	15078	806
Lipiany	pyrzycki	zachodniopomorskie	5,54	4045	730
Lipno	lipnowski	kujawsko-pomorskie	10,99	14772	1344
Lipsk	augustowski	podlaskie	4,98	2440	490
Lipsko	lipski	mazowieckie	15,70	5732	365
Lubaczów	lubaczowski	podkarpackie	25,73	12416	483
Lubań	lubański	dolnośląskie	16,12	21785	1351
Lubartów	lubartowski	lubelskie	13,91	22463	1615
Lubawa	iławski	warmińsko-mazurskie	16,84	10098	600
Lubawka	kamiennogórski	dolnośląskie	22,44	6236	278
LubieńKujawski	włocławski	kujawsko-pomorskie	2,31	1413	612
Lubin	lubiński	dolnośląskie	40,77	73658	1807
Lublin	Lublin[a]	lubelskie	147,47	341722	2317
Lubliniec	lubliniecki	śląskie	89,36	24182	271
Lubniewice	sulęciński	lubuskie	12,11	2076	171
Lubomierz	lwówecki	dolnośląskie	8,05	1949	242
Luboń	poznański	wielkopolskie	13,51	30813	2281
Lubraniec	włocławski	kujawsko-pomorskie	1,97	3139	1593
Lubsko	żarski	lubuskie	12,51	14451	1155
LubyczaKrólewska	tomaszowski	lubelskie	-	1800	-
Lwówek	nowotomyski	wielkopolskie	3,16	3042	963
LwówekŚląski	lwówecki	dolnośląskie	16,65	9115	547
Łabiszyn	żniński	kujawsko-pomorskie	2,89	4524	1565
Łańcut	łańcucki	podkarpackie	19,42	17982	926
Łapy	białostocki	podlaskie	12,14	15879	1308
Łasin	grudziądzki	kujawsko-pomorskie	4,79	3372	704
Łask	łaski	łódzkie	15,67	17897	1142
Łaskarzew	garwoliński	mazowieckie	15,35	4910	320
Łaszczów	tomaszowski	lubelskie	5,01	2222	444
ŁaziskaGórne	mikołowski	śląskie	20,07	22419	1117
Łazy	zawierciański	śląskie	8,60	6972	811
Łeba	lęborski	pomorskie	14,81	3836	259
Łęczna	łęczyński	lubelskie	19,00	19690	1036
Łęczyca	łęczycki	łódzkie	8,95	14660	1638
Łęknica	żarski	lubuskie	16,43	2578	157
Łobez	łobeski	zachodniopomorskie	12,84	10409	811
Łobżenica	pilski	wielkopolskie	3,25	2997	922
Łochów	węgrowski	mazowieckie	13,39	6809	509
Łomianki	warszawskizachodni	mazowieckie	8,40	16617	1978
Łomża	Łomża[a]	podlaskie	32,67	62779	1922
Łosice	łosicki	mazowieckie	23,74	7102	299
Łowicz	łowicki	łódzkie	23,42	29169	1245
Łódź	Łódź[a]	łódzkie	293,25	706004	2408
Łuków	łukowski	lubelskie	35,75	30557	855
MakówMazowiecki	makowski	mazowieckie	10,28	10077	980
MakówPodhalański	suski	małopolskie	20,12	5980	297
Malbork	malborski	pomorskie	17,16	38950	2270
Małogoszcz	jędrzejowski	świętokrzyskie	9,68	3872	400
Małomice	żagański	lubuskie	5,37	3571	665
Margonin	chodzieski	wielkopolskie	5,15	3027	588
